S/N,REGION,COUNCIL,SCHOOL NAME,Reg#,"July, 2022","Augut, 2022","September, 2022","October, 2022","November, 2022","December, 2022","January, 2023","February, 2023","March, 2023","April, 2023","May, 2023","June, 2023", TOTAL 
64,Arusha,Arusha DC,SOKONI II,S.4854,"1,236,998.34","1,227,815.34","1,059,302.35","1,053,784.96","1,053,484.00","1,050,313.00","1,049,940.00","1,049,754.00","1,047,850.00","1,046,805.00","1,046,805.00","1,043,849.00","12,966,700.98"
65,Arusha,Karatu DC,AWET,S.512,"598,729.79","594,285.05","426,930.95","424,707.27","424,586.00","423,308.00","423,158.00","423,083.00","422,315.00","421,894.00","421,894.00","420,703.00","5,425,594.05"
66,Arusha,Karatu DC,BANJIKA,S.1534,"603,248.50","598,770.22","507,181.12","504,539.47","504,395.00","502,877.00","502,699.00","502,610.00","501,698.00","501,197.00","501,197.00","499,782.00","6,230,194.31"
67,Arusha,Karatu DC,BARAY,S.2494,"514,003.87","510,188.11","586,361.30","583,307.23","583,140.00","581,386.00","581,179.00","581,076.00","580,022.00","579,443.00","579,443.00","577,807.00","6,837,356.51"
68,Arusha,Karatu DC,BARAY KHUSJUNEI,S.5131,"194,304.76","192,862.32","232,190.51","230,981.15","230,915.00","230,220.00","230,138.00","230,098.00","229,680.00","229,451.00","229,451.00","228,803.00","2,689,094.74"
69,Arusha,Karatu DC,CHAENDA,S.2845,"432,667.00","429,455.04","399,110.88","397,032.11","396,919.00","395,724.00","395,584.00","395,513.00","394,796.00","394,402.00","394,402.00","393,288.00","4,818,893.04"
70,Arusha,Karatu DC,DIEGO,S.1533,"502,707.09","498,975.18","502,901.11","500,281.75","500,139.00","498,634.00","498,456.00","498,368.00","497,464.00","496,968.00","496,968.00","495,565.00","5,987,427.13"
71,Arusha,Karatu DC,DOMEL,S.2812,"604,378.18","599,891.51","591,711.31","588,629.38","588,461.00","586,690.00","586,482.00","586,378.00","585,314.00","584,730.00","584,730.00","583,079.00","7,070,474.38"
72,Arusha,Karatu DC,DR WILBROAD SLAA,S.4019,"355,848.84","353,207.15","338,120.75","336,359.64","336,263.00","335,252.00","335,132.00","335,073.00","334,465.00","334,132.00","334,132.00","333,188.00","4,061,173.38"
73,Arusha,Karatu DC,EDITH GRORA,S.4990,"146,858.25","145,768.03","127,330.28","126,667.08","126,631.00","126,250.00","126,205.00","126,183.00","125,954.00","125,828.00","125,828.00","125,473.00","1,554,975.64"
74,Arusha,Karatu DC,ENDABASH,S.1536,"558,061.35","553,918.52","501,831.11","499,217.32","499,075.00","497,573.00","497,396.00","497,308.00","496,406.00","495,910.00","495,910.00","494,510.00","6,087,116.30"
75,Arusha,Karatu DC,ENDALLAH,S.1535,"684,585.38","679,503.28","647,351.43","643,979.70","643,796.00","641,858.00","641,630.00","641,516.00","640,353.00","639,714.00","639,714.00","637,908.00","7,781,908.79"
76,Arusha,Karatu DC,FLORIAN,S.994,"735,420.93","729,961.45","616,321.36","628,013.26","627,834.00","625,944.00","625,722.00","625,611.00","624,476.00","623,853.00","623,853.00","622,092.00","7,709,102.00"
77,Arusha,Karatu DC,GANAKO,S.1267,"791,904.87","786,026.07","739,371.64","739,778.33","739,567.00","737,341.00","737,079.00","736,949.00","735,612.00","734,878.00","734,878.00","732,803.00","8,946,187.91"
78,Arusha,Karatu DC,GETAMOCK,S.3656,"290,327.46","288,172.18","276,060.61","274,622.75","274,544.00","273,718.00","273,621.00","273,572.00","273,076.00","272,804.00","272,804.00","272,033.00","3,315,355.01"
79,Arusha,Karatu DC,GYEKRUM ARUSHA,S.2811,"497,058.69","493,368.72","524,301.16","521,570.33","521,421.00","519,852.00","519,667.00","519,575.00","518,633.00","518,115.00","518,115.00","516,652.00","6,188,328.91"
80,Arusha,Karatu DC,GYEKRUM LAMBO,S.2496,"311,791.36","309,476.74","269,640.60","268,236.17","268,159.00","267,352.00","267,258.00","267,210.00","266,725.00","266,459.00","266,459.00","265,707.00","3,294,473.87"
81,Arusha,Karatu DC,KAINAM RHOTIA,S.3658,"178,489.26","177,164.22","173,340.38","172,437.54","172,388.00","171,869.00","171,808.00","171,778.00","171,466.00","171,295.00","171,295.00","170,812.00","2,074,142.40"
82,Arusha,Karatu DC,KANSAY,S.1537,"493,669.66","490,004.84","425,860.94","423,642.84","423,522.00","422,247.00","422,097.00","422,022.00","421,257.00","420,837.00","420,837.00","419,648.00","5,205,645.28"
83,Arusha,Karatu DC,KARATU,S.137,"1,005,414.17","997,950.36","995,102.20","1,041,011.81","1,040,714.00","1,037,582.00","1,037,214.00","1,037,030.00","1,035,148.00","1,034,116.00","1,034,116.00","1,031,196.00","12,326,594.55"
84,Arusha,Karatu DC,KILIMAMOJA,S.2810,"533,208.42","529,250.08","520,021.15","517,312.62","517,165.00","515,608.00","515,425.00","515,334.00","514,399.00","513,886.00","513,886.00","512,435.00","6,217,930.26"
85,Arusha,Karatu DC,KILIMATEMBO,S.2495,"273,382.28","271,352.80","239,680.53","238,432.15","238,364.00","237,647.00","237,562.00","237,520.00","237,089.00","236,853.00","236,853.00","236,184.00","2,920,919.76"
86,Arusha,Karatu DC,MANGOLA,S.2493,"536,597.45","532,613.96","491,131.09","488,573.03","488,433.00","486,963.00","486,790.00","486,704.00","485,821.00","485,337.00","485,337.00","483,966.00","5,938,266.52"
